#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: TexturePackerSprites@2x.png (2048 x 1952)
# $TexturePacker:SmartUpdate:81d1e7c8ca87b27e57ec3baae0722c82:e4f22956df2ec7945308ba0f847561cb:64bd503133ec8fc3aa7eefa9c9033dc9$
#

Background;0;1;1;2044;1536;2044;1536;0.5;0.5
capguy/turn/0001;0;494;1539;167;302;207;329;0.5;0.5082781456953642
capguy/turn/0002;0;494;1539;167;302;207;329;0.5;0.5082781456953642
capguy/turn/0003;1;972;1692;306;141;207;329;0.4645390070921986;0.5212418300653595
capguy/turn/0004;1;972;1692;306;141;207;329;0.4645390070921986;0.5212418300653595
capguy/turn/0005;1;1288;1680;312;126;207;329;0.5833333333333334;0.5272435897435898
capguy/turn/0006;1;1288;1680;312;126;207;329;0.5833333333333334;0.5272435897435898
capguy/turn/0007;1;1602;1676;314;129;207;329;0.7558139534883721;0.5238853503184714
capguy/turn/0008;1;1602;1676;314;129;207;329;0.7558139534883721;0.5238853503184714
capguy/turn/0009;0;1918;1539;129;300;207;329;0.7170542635658915;0.505
capguy/turn/0010;0;1918;1539;129;300;207;329;0.7170542635658915;0.505
capguy/turn/0011;1;979;1539;307;151;207;329;0.6854304635761589;0.5195439739413681
capguy/turn/0012;1;979;1539;307;151;207;329;0.6854304635761589;0.5195439739413681
capguy/walk/0001;0;164;1539;158;316;187;324;0.49683544303797467;0.5031645569620253
capguy/walk/0002;0;164;1539;158;316;187;324;0.49683544303797467;0.5031645569620253
capguy/walk/0003;0;324;1539;168;303;187;324;0.5565476190476191;0.5082508250825083
capguy/walk/0004;0;324;1539;168;303;187;324;0.5565476190476191;0.5082508250825083
capguy/walk/0005;1;663;1687;307;152;187;324;0.4440789473684211;0.5211726384364821
capguy/walk/0006;1;663;1687;307;152;187;324;0.4440789473684211;0.5211726384364821
capguy/walk/0007;1;1280;1808;306;141;187;324;0.36524822695035464;0.5261437908496732
capguy/walk/0008;1;1280;1808;306;141;187;324;0.36524822695035464;0.5261437908496732
capguy/walk/0009;1;1288;1539;311;139;187;324;0.4352517985611511;0.5112540192926045
capguy/walk/0010;1;1288;1539;311;139;187;324;0.4352517985611511;0.5112540192926045
capguy/walk/0011;1;1601;1539;311;135;187;324;0.4777777777777778;0.49517684887459806
capguy/walk/0012;1;1601;1539;311;135;187;324;0.4777777777777778;0.49517684887459806
