#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: TexturePackerSprites.png (1024 x 984)
# $TexturePacker:SmartUpdate:81d1e7c8ca87b27e57ec3baae0722c82:e4f22956df2ec7945308ba0f847561cb:64bd503133ec8fc3aa7eefa9c9033dc9$
#

Background;0;1;1;1022;768;1022;768;0.5;0.5
capguy/turn/0001;0;169;771;86;153;104;165;0.5;0.5065359477124183
capguy/turn/0002;0;169;771;86;153;104;165;0.5;0.5065359477124183
capguy/turn/0003;1;662;771;155;73;104;165;0.4657534246575342;0.5193548387096775
capguy/turn/0004;1;662;771;155;73;104;165;0.4657534246575342;0.5193548387096775
capguy/turn/0005;1;662;846;157;65;104;165;0.5846153846153846;0.5254777070063694
capguy/turn/0006;1;662;846;157;65;104;165;0.5846153846153846;0.5254777070063694
capguy/turn/0007;1;821;844;158;67;104;165;0.746268656716418;0.5221518987341772
capguy/turn/0008;1;821;844;158;67;104;165;0.746268656716418;0.5221518987341772
capguy/turn/0009;1;816;913;152;66;104;165;0.7121212121212122;0.5032894736842105
capguy/turn/0010;1;816;913;152;66;104;165;0.7121212121212122;0.5032894736842105
capguy/turn/0011;1;344;848;155;77;104;165;0.6753246753246753;0.5193548387096775
capguy/turn/0012;1;344;848;155;77;104;165;0.6753246753246753;0.5193548387096775
capguy/walk/0001;0;86;771;81;159;94;162;0.49382716049382713;0.5031446540880503
capguy/walk/0002;0;86;771;81;159;94;162;0.49382716049382713;0.5031446540880503
capguy/walk/0003;0;257;771;85;153;94;162;0.5529411764705883;0.5098039215686274
capguy/walk/0004;0;257;771;85;153;94;162;0.5529411764705883;0.5098039215686274
capguy/walk/0005;1;505;771;155;78;94;162;0.44871794871794873;0.5225806451612903
capguy/walk/0006;1;505;771;155;78;94;162;0.44871794871794873;0.5225806451612903
capguy/walk/0007;1;501;851;154;73;94;162;0.3698630136986301;0.525974025974026
capguy/walk/0008;1;501;851;154;73;94;162;0.3698630136986301;0.525974025974026
capguy/walk/0009;1;819;771;157;71;94;162;0.43661971830985913;0.5095541401273885
capguy/walk/0010;1;819;771;157;71;94;162;0.43661971830985913;0.5095541401273885
capguy/walk/0011;1;657;913;157;69;94;162;0.4782608695652174;0.4968152866242038
capguy/walk/0012;1;657;913;157;69;94;162;0.4782608695652174;0.4968152866242038
capguy/walk/0013;1;344;771;159;75;94;162;0.4266666666666667;0.5094339622641509
capguy/walk/0014;1;344;771;159;75;94;162;0.4266666666666667;0.5094339622641509
capguy/walk/0015;0;1;771;83;161;94;162;0.4457831325301205;0.5031055900621118
capguy/walk/0016;0;1;771;83;161;94;162;0.4457831325301205;0.5031055900621118
cowboy/Celebrate/Celebrate_01;0;108;932;14;31;32;32;0.5;0.4838709677419355
cowboy/Celebrate/Celebrate_02;1;474;927;29;15;32;32;0.5333333333333333;0.4482758620689655
cowboy/Celebrate/Celebrate_03;0;168;955;16;26;32;32;0.5625;0.38461538461538464
cowboy/Celebrate/Celebrate_04;1;630;946;25;17;32;32;0.5294117647058824;0.36
cowboy/Celebrate/Celebrate_05;0;27;934;16;30;32;32;0.5625;0.4666666666666667
cowboy/Celebrate/Celebrate_06;0;86;932;20;31;32;32;0.55;0.4838709677419355
cowboy/Celebrate/Celebrate_07;0;970;913;14;32;32;32;0.35714285714285715;0.5
cowboy/Celebrate/Celebrate_08;0;970;947;14;32;32;32;0.35714285714285715;0.5
cowboy/Celebrate/Celebrate_09;1;441;927;31;13;32;32;0.46153846153846156;0.4838709677419355
cowboy/Celebrate/Celebrate_10;0;147;955;19;27;32;32;0.5789473684210527;0.4074074074074074
cowboy/Celebrate/Celebrate_11;0;45;934;16;30;32;32;0.5625;0.4666666666666667
cowboy/Die/Die_01;1;251;926;30;16;30;32;0.5625;0.4666666666666667
cowboy/Die/Die_02;1;283;926;30;16;29;32;0.65625;0.4666666666666667
cowboy/Die/Die_03;1;408;927;31;14;30;32;0.5714285714285714;0.5161290322580645
cowboy/Die/Die_04;1;536;926;29;14;30;32;0.42857142857142855;0.4482758620689655
cowboy/Die/Die_05;1;158;932;23;21;29;32;0.35714285714285715;0.30434782608695654
cowboy/Die/Die_06;1;129;955;16;28;30;32;0.5;0
cowboy/Die/Die_07;0;567;926;30;13;30;32;0.5;-0.23076923076923078
cowboy/Die/Die_08;0;599;926;29;12;29;32;0.5;-0.3333333333333333
cowboy/Die/Die_09;0;567;941;30;11;30;32;0.5;-0.45454545454545453
cowboy/Die/Die_10;1;986;905;11;30;30;32;0.5;-0.45454545454545453
cowboy/Die/Die_11;0;599;940;29;11;29;32;0.5;-0.45454545454545453
cowboy/Die/Die_12;1;986;937;11;30;30;32;0.5;-0.45454545454545453
cowboy/Idle;1;344;927;30;16;32;32;0.5;0.4666666666666667
cowboy/Jump/Jump_01;1;376;927;30;16;32;32;0.5625;0.4666666666666667
cowboy/Jump/Jump_02;1;315;926;27;17;32;32;0.5882352941176471;0.4074074074074074
cowboy/Jump/Jump_03;0;186;944;17;26;32;32;0.5882352941176471;0.38461538461538464
cowboy/Jump/Jump_04;1;630;926;25;18;32;32;0.6111111111111112;0.36
cowboy/Jump/Jump_05;0;981;837;16;32;32;32;0.625;0.5
cowboy/Jump/Jump_06;1;1;966;31;17;32;32;0.5882352941176471;0.5161290322580645
